State,E.V.,NYT,538,HuffPost,PW,PEC,DK,Cook,Roth.1,Sabato,,
Georgia,16,77% Rep.,81% Rep.,87% Rep.,90% Rep.,84% Rep.,97% Rep.,Lean Rep.,Lean Rep.,Likely Rep.,,
Nebraska (CD 2)*,1,78% Rep.,63% Rep.,50% Dem.,82% Rep.,92% Rep.,N.A.,Tossup,Tossup,Lean Rep.,,
Arizona,11,80% Rep.,71% Rep.,88% Rep.,80% Rep.,91% Rep.,94% Rep.,Lean Rep.,Lean Rep.,Lean Rep.,,
Mississippi,6,85% Rep.,98% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
South Carolina,9,86% Rep.,87% Rep.,95% Rep.,99% Rep.,95% Rep.,>99% Rep.,Likely Rep.,Solid Rep.,Solid Rep.,,151 electoral votesFrom 21 likely Republican states
Alaska,3,92% Rep.,77% Rep.,99% Rep.,97% Rep.,>99% Rep.,>99% Rep.,Likely Rep.,Solid Rep.,Likely Rep.,,
Texas,38,95% Rep.,96% Rep.,99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,Likely Rep.,Solid Rep.,Solid Rep.,,
Kansas,6,95% Rep.,97% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Arkansas,6,97% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Missouri,10,97% Rep.,97% Rep.,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,Likely Rep.,Likely Rep.,Solid Rep.,,
Louisiana,8,97% Rep.,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Indiana,11,98% Rep.,97% Rep.,>99% Rep.,98% Rep.,>99% Rep.,>99% Rep.,Likely Rep.,Lean Rep.,Solid Rep.,,
Montana,3,99% Rep.,97% Rep.,>99% Rep.,93% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Oklahoma,7,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Idaho,4,99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Nebraska (CD 1)*,1,99% Rep.,91% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,N.A.,Solid Rep.,Solid Rep.,Solid Rep.,,
Tennessee,11,99% Rep.,98% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
West Virginia,5,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
North Dakota,3,>99% Rep.,98% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Kentucky,8,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Alabama,9,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Nebraska,2,>99% Rep.,98% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Likely Rep.,Solid Rep.,,
South Dakota,3,>99% Rep.,95% Rep.,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Wyoming,3,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Nebraska (CD 3)*,1,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,N.A.,Solid Rep.,Solid Rep.,Solid Rep.,,
