State,E.V.,NYT,538,HuffPost,PW,PEC,DK,Cook,Roth.1,Sabato,,
Wyoming,3,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
1Rothenberg & Gonzales ratings are converted from a nine-category scale to a seven-category scale to make comparisons easier.,,,,,,,,,,,,
*Maine and Nebraska award two electoral votes to the statewide winner and a single electoral vote to the winner of each congressional district.,,,,,,,,,,,,
Solid,,,,,,,,,,,,
Dem.,,,,,,,,,,,,
Likely,,,,,,,,,,,,
Dem.,,,,,,,,,,,,
Lean,,,,,,,,,,,,
Dem.,,,,,,,,,,,,
Tossup,,,,,,,,,,,,
Lean,,,,,,,,,,,,
Rep.,,,,,,,,,,,,
Likely,,,,,,,,,,,,
Rep.,,,,,,,,,,,,
Solid,,,,,,,,,,,,
Rep.,,,,,,,,,,,,
